scenario,uav_id,step,x,y,mode
主场景-综合动态战场,UAV-01,0,0.0,0.0,Search
主场景-综合动态战场,UAV-01,1,0.0,0.0,Search
主场景-综合动态战场,UAV-01,2,4.8864,4.1331,Search
主场景-综合动态战场,UAV-01,3,9.7729,8.2662,Search
主场景-综合动态战场,UAV-01,4,14.6593,12.3994,Search
主场景-综合动态战场,UAV-01,5,19.5458,16.5325,Search
主场景-综合动态战场,UAV-01,6,22.463,19.0,Track
主场景-综合动态战场,UAV-01,7,22.463,19.0,Search
主场景-综合动态战场,UAV-01,8,22.2163,12.6048,Search
主场景-综合动态战场,UAV-01,9,22.0,7.0,Track
主场景-综合动态战场,UAV-01,10,22.0,7.0,Track
主场景-综合动态战场,UAV-01,11,27.1113,10.8516,Search
主场景-综合动态战场,UAV-01,12,30.3984,16.3429,Search
主场景-综合动态战场,UAV-01,13,33.6856,21.8343,Search
主场景-综合动态战场,UAV-01,14,36.9727,27.3256,Search
主场景-综合动态战场,UAV-01,15,40.2599,32.8169,Search
主场景-综合动态战场,UAV-01,16,40.5966,33.3795,Track
主场景-综合动态战场,UAV-01,17,40.5966,33.3795,Search
主场景-综合动态战场,UAV-01,18,46.2981,30.472,Search
主场景-综合动态战场,UAV-01,19,50.3835,28.3885,Track
主场景-综合动态战场,UAV-01,20,50.3835,28.3885,Track
主场景-综合动态战场,UAV-01,21,56.6566,29.6566,Track
主场景-综合动态战场,UAV-01,22,62.9297,30.9247,Track
主场景-综合动态战场,UAV-01,23,69.2028,32.1928,Search
主场景-综合动态战场,UAV-01,24,75.476,33.4609,Search
主场景-综合动态战场,UAV-01,25,76.1294,33.593,Track
主场景-综合动态战场,UAV-01,26,76.1294,33.593,Track
主场景-综合动态战场,UAV-01,27,80.3814,38.3763,Track
主场景-综合动态战场,UAV-01,28,84.6334,43.1597,RTB
主场景-综合动态战场,UAV-01,29,79.391,39.4886,RTB
主场景-综合动态战场,UAV-01,30,74.1486,35.8175,RTB
主场景-综合动态战场,UAV-01,31,68.9061,32.1464,RTB
主场景-综合动态战场,UAV-01,32,63.6637,28.4753,RTB
主场景-综合动态战场,UAV-01,33,58.4213,24.8042,RTB
主场景-综合动态战场,UAV-01,34,53.1788,21.1331,RTB
主场景-综合动态战场,UAV-01,35,47.9364,17.4621,RTB
主场景-综合动态战场,UAV-01,36,42.694,13.791,RTB
主场景-综合动态战场,UAV-01,37,37.4515,10.1199,RTB
主场景-综合动态战场,UAV-01,38,32.2091,6.4488,RTB
主场景-综合动态战场,UAV-01,39,26.9667,2.7777,RTB
主场景-综合动态战场,UAV-01,40,23.0,0.0,Resupply
主场景-综合动态战场,UAV-01,41,23.0,0.0,Resupply
主场景-综合动态战场,UAV-01,42,23.0,0.0,Search
主场景-综合动态战场,UAV-01,43,27.9608,4.0436,Search
主场景-综合动态战场,UAV-01,44,32.9215,8.0872,Search
主场景-综合动态战场,UAV-01,45,37.8823,12.1308,Search
主场景-综合动态战场,UAV-01,46,42.8431,16.1744,Search
主场景-综合动态战场,UAV-01,47,47.8039,20.218,Search
主场景-综合动态战场,UAV-01,48,53.1332,23.7618,Search
主场景-综合动态战场,UAV-01,49,58.4625,27.3056,Search
主场景-综合动态战场,UAV-01,50,63.7918,30.8494,Search
主场景-综合动态战场,UAV-01,51,69.1211,34.3932,Search
主场景-综合动态战场,UAV-01,52,74.4504,37.937,Search
主场景-综合动态战场,UAV-01,53,79.7797,41.4808,Search
主场景-综合动态战场,UAV-01,54,85.109,45.0246,Search
主场景-综合动态战场,UAV-01,55,88.0,46.947,Track
主场景-综合动态战场,UAV-01,56,88.0,46.947,Track
主场景-综合动态战场,UAV-01,57,81.6057,47.218,Search
主场景-综合动态战场,UAV-01,58,82.682,53.5269,Search
主场景-综合动态战场,UAV-01,59,83.7582,59.8357,Search
主场景-综合动态战场,UAV-01,60,84.8344,66.1446,Search
主场景-综合动态战场,UAV-01,61,85.9106,72.4535,Search
主场景-综合动态战场,UAV-02,0,0.0,0.0,Search
主场景-综合动态战场,UAV-02,1,0.0,0.0,Search
主场景-综合动态战场,UAV-02,2,6.2757,1.2551,Search
主场景-综合动态战场,UAV-02,3,12.5514,2.5103,Search
主场景-综合动态战场,UAV-02,4,15.0,3.0,Track
主场景-综合动态战场,UAV-02,5,15.0,3.0,Track
主场景-综合动态战场,UAV-02,6,11.4499,8.3251,Track
主场景-综合动态战场,UAV-02,7,11.0,9.0,Track
主场景-综合动态战场,UAV-02,8,11.0,9.0,Track
主场景-综合动态战场,UAV-02,9,11.9051,15.3357,Search
主场景-综合动态战场,UAV-02,10,12.0,16.0,Track
主场景-综合动态战场,UAV-02,11,12.0,16.0,Search
主场景-综合动态战场,UAV-02,12,12.0,22.4,Search
主场景-综合动态战场,UAV-02,13,12.0,28.8,Search
主场景-综合动态战场,UAV-02,14,12.0,35.0,Track
主场景-综合动态战场,UAV-02,15,12.0,35.0,Isolated
主场景-综合动态战场,UAV-02,16,8.0,37.0,Track
主场景-综合动态战场,UAV-02,17,8.0,37.0,Search
主场景-综合动态战场,UAV-02,18,8.2418,43.3954,Search
主场景-综合动态战场,UAV-02,19,8.4835,49.7909,Search
主场景-综合动态战场,UAV-02,20,8.7253,56.1863,Search
主场景-综合动态战场,UAV-02,21,8.9671,62.5817,Search
主场景-综合动态战场,UAV-02,22,9.0,63.4523,Track
主场景-综合动态战场,UAV-02,23,9.0,63.4523,Search
主场景-综合动态战场,UAV-02,24,7.7345,69.7259,RTB
主场景-综合动态战场,UAV-02,25,7.0289,63.3649,RTB
主场景-综合动态战场,UAV-02,26,6.3233,57.004,RTB
主场景-综合动态战场,UAV-02,27,5.6177,50.643,RTB
主场景-综合动态战场,UAV-02,28,4.9121,44.282,RTB
主场景-综合动态战场,UAV-02,29,4.2065,37.921,RTB
主场景-综合动态战场,UAV-02,30,3.5009,31.56,RTB
主场景-综合动态战场,UAV-02,31,2.7953,25.199,RTB
主场景-综合动态战场,UAV-02,32,2.0897,18.8381,RTB
主场景-综合动态战场,UAV-02,33,1.384,12.4771,RTB
主场景-综合动态战场,UAV-02,34,0.6784,6.1161,RTB
主场景-综合动态战场,UAV-02,35,0.0,0.0,Resupply
主场景-综合动态战场,UAV-02,36,0.0,0.0,Resupply
主场景-综合动态战场,UAV-02,37,0.0,0.0,Search
主场景-综合动态战场,UAV-02,38,5.6467,3.0124,Search
主场景-综合动态战场,UAV-02,39,11.2934,6.0249,Search
主场景-综合动态战场,UAV-02,40,16.9401,9.0373,Search
主场景-综合动态战场,UAV-02,41,22.5868,12.0498,Search
主场景-综合动态战场,UAV-02,42,27.2225,16.4622,Search
主场景-综合动态战场,UAV-02,43,32.9433,19.3316,Search
主场景-综合动态战场,UAV-02,44,38.664,22.201,Search
主场景-综合动态战场,UAV-02,45,44.3847,25.0704,Search
主场景-综合动态战场,UAV-02,46,50.1054,27.9398,Search
主场景-综合动态战场,UAV-02,47,55.8261,30.8092,Search
主场景-综合动态战场,UAV-02,48,57.4869,36.99,Search
主场景-综合动态战场,UAV-02,49,59.1477,43.1707,Search
主场景-综合动态战场,UAV-02,50,64.7361,46.2899,Search
主场景-综合动态战场,UAV-02,51,70.3245,49.4091,Search
主场景-综合动态战场,UAV-02,52,75.913,52.5284,Search
主场景-综合动态战场,UAV-02,53,81.5014,55.6476,Search
主场景-综合动态战场,UAV-02,54,87.0898,58.7668,Search
主场景-综合动态战场,UAV-02,55,92.6782,61.886,Search
主场景-综合动态战场,UAV-02,56,98.2667,65.0052,RTB
主场景-综合动态战场,UAV-02,57,93.4231,60.822,RTB
主场景-综合动态战场,UAV-02,58,88.5795,56.6387,RTB
主场景-综合动态战场,UAV-02,59,83.7359,52.4555,RTB
主场景-综合动态战场,UAV-02,60,78.8923,48.2722,RTB
主场景-综合动态战场,UAV-02,61,74.0487,44.089,RTB
主场景-综合动态战场,UAV-03,0,23.0,0.0,Search
主场景-综合动态战场,UAV-03,1,23.0,0.0,Search
主场景-综合动态战场,UAV-03,2,23.482,7.1838,Search
主场景-综合动态战场,UAV-03,3,23.964,14.3677,Search
主场景-综合动态战场,UAV-03,4,24.446,21.5515,Search
主场景-综合动态战场,UAV-03,5,24.9281,28.7354,Search
主场景-综合动态战场,UAV-03,6,25.4101,35.9192,Search
主场景-综合动态战场,UAV-03,7,25.8921,43.1031,Search
主场景-综合动态战场,UAV-03,8,26.1154,46.4311,Track
主场景-综合动态战场,UAV-03,9,26.1154,46.4311,Search
主场景-综合动态战场,UAV-03,10,22.0996,52.4072,Search
主场景-综合动态战场,UAV-03,11,18.0839,58.3833,Search
主场景-综合动态战场,UAV-03,12,19.3656,65.4683,Search
主场景-综合动态战场,UAV-03,13,20.6474,72.5533,Search
主场景-综合动态战场,UAV-03,14,21.9291,79.6382,Search
主场景-综合动态战场,UAV-03,15,23.2109,86.7232,Search
主场景-综合动态战场,UAV-03,16,30.3266,85.6248,Search
主场景-综合动态战场,UAV-03,17,37.4423,84.5265,Search
主场景-综合动态战场,UAV-03,18,37.2999,91.7251,Search
主场景-综合动态战场,UAV-03,19,37.1575,98.9236,Search
主场景-综合动态战场,UAV-03,20,40.6073,105.2433,Search
主场景-综合动态战场,UAV-03,21,43.9783,111.4184,Track
主场景-综合动态战场,UAV-03,22,43.9783,111.4184,Track
主场景-综合动态战场,UAV-03,23,42.7478,118.5125,Search
主场景-综合动态战场,UAV-03,24,41.5173,125.6066,Search
主场景-综合动态战场,UAV-03,25,40.2869,132.7007,Search
主场景-综合动态战场,UAV-03,26,39.0564,139.7948,Search
主场景-综合动态战场,UAV-03,27,37.8259,146.8888,Search
主场景-综合动态战场,UAV-03,28,36.5955,153.9829,Search
主场景-综合动态战场,UAV-03,29,36.0,157.416,Track
主场景-综合动态战场,UAV-03,30,36.0,157.416,Track
主场景-综合动态战场,UAV-03,31,38.2545,164.2539,Track
主场景-综合动态战场,UAV-03,32,40.509,171.0918,Track
主场景-综合动态战场,UAV-03,33,42.7634,177.9298,Search
主场景-综合动态战场,UAV-03,34,45.0179,184.7677,Search
主场景-综合动态战场,UAV-03,35,46.5552,189.4305,Track
主场景-综合动态战场,UAV-03,36,46.5552,189.4305,Track
主场景-综合动态战场,UAV-03,37,48.3995,196.3902,Search
主场景-综合动态战场,UAV-03,38,50.2438,203.35,Search
主场景-综合动态战场,UAV-03,39,52.0881,210.3098,Search
主场景-综合动态战场,UAV-03,40,48.5757,216.5949,Search
主场景-综合动态战场,UAV-03,41,45.0633,222.8801,Search
主场景-综合动态战场,UAV-03,42,45.8022,230.0421,Search
主场景-综合动态战场,UAV-03,43,46.5411,237.2041,Search
主场景-综合动态战场,UAV-03,44,47.2799,244.366,Search
主场景-综合动态战场,UAV-03,45,48.0188,251.528,Search
主场景-综合动态战场,UAV-03,46,48.7577,258.69,RTB
主场景-综合动态战场,UAV-03,47,45.197,252.4321,RTB
主场景-综合动态战场,UAV-03,48,41.6362,246.1743,RTB
主场景-综合动态战场,UAV-03,49,38.0755,239.9164,RTB
主场景-综合动态战场,UAV-03,50,34.5147,233.6585,RTB
主场景-综合动态战场,UAV-03,51,30.954,227.4006,RTB
主场景-综合动态战场,UAV-03,52,27.3932,221.1427,RTB
主场景-综合动态战场,UAV-03,53,23.8325,214.8848,RTB
主场景-综合动态战场,UAV-03,54,20.2718,208.6269,RTB
主场景-综合动态战场,UAV-03,55,16.711,202.3691,RTB
主场景-综合动态战场,UAV-03,56,13.1503,196.1112,RTB
主场景-综合动态战场,UAV-03,57,9.5895,189.8533,RTB
主场景-综合动态战场,UAV-03,58,6.0288,183.5954,RTB
主场景-综合动态战场,UAV-03,59,2.4681,177.3375,RTB
主场景-综合动态战场,UAV-03,60,0.0,173.0,Resupply
主场景-综合动态战场,UAV-03,61,0.0,173.0,Resupply
主场景-综合动态战场,UAV-04,0,0.0,0.0,Search
主场景-综合动态战场,UAV-04,1,0.0,0.0,Search
主场景-综合动态战场,UAV-04,2,0.7188,9.5731,Search
主场景-综合动态战场,UAV-04,3,1.4376,19.1461,Search
主场景-综合动态战场,UAV-04,4,2.1564,28.7192,Search
主场景-综合动态战场,UAV-04,5,2.8752,38.2922,Search
主场景-综合动态战场,UAV-04,6,3.594,47.8653,Search
主场景-综合动态战场,UAV-04,7,4.3129,57.4383,Search
主场景-综合动态战场,UAV-04,8,5.0317,67.0114,Search
主场景-综合动态战场,UAV-04,9,5.7505,76.5844,Search
主场景-综合动态战场,UAV-04,10,6.4693,86.1575,Search
主场景-综合动态战场,UAV-04,11,7.1881,95.7305,Search
主场景-综合动态战场,UAV-04,12,7.9069,105.3036,Search
主场景-综合动态战场,UAV-04,13,8.0,106.5434,Track
主场景-综合动态战场,UAV-04,14,8.0,106.5434,Track
主场景-综合动态战场,UAV-04,15,12.0489,115.2478,Search
主场景-综合动态战场,UAV-04,16,16.7902,123.5952,Search
主场景-综合动态战场,UAV-04,17,21.5314,131.9427,Search
主场景-综合动态战场,UAV-04,18,28.6163,125.4647,Search
主场景-综合动态战场,UAV-04,19,35.7011,118.9866,Search
主场景-综合动态战场,UAV-04,20,43.1197,125.0797,Search
主场景-综合动态战场,UAV-04,21,50.5382,131.1727,Search
主场景-综合动态战场,UAV-04,22,57.9567,137.2658,Search
主场景-综合动态战场,UAV-04,23,65.3753,143.3589,Search
主场景-综合动态战场,UAV-04,24,72.7938,149.4519,Search
主场景-综合动态战场,UAV-04,25,80.2124,155.545,Search
主场景-综合动态战场,UAV-04,26,81.9841,157.0002,Track
主场景-综合动态战场,UAV-04,27,81.9841,157.0002,Track
主场景-综合动态战场,UAV-04,28,84.3874,166.2945,RTB
主场景-综合动态战场,UAV-04,29,74.8175,167.0549,RTB
主场景-综合动态战场,UAV-04,30,65.2477,167.8153,RTB
主场景-综合动态战场,UAV-04,31,55.6779,168.5758,RTB
主场景-综合动态战场,UAV-04,32,46.108,169.3362,RTB
主场景-综合动态战场,UAV-04,33,36.5382,170.0966,RTB
主场景-综合动态战场,UAV-04,34,26.9684,170.8571,RTB
主场景-综合动态战场,UAV-04,35,17.3985,171.6175,RTB
主场景-综合动态战场,UAV-04,36,7.8287,172.3779,RTB
主场景-综合动态战场,UAV-04,37,0.0,173.0,Resupply
主场景-综合动态战场,UAV-04,38,0.0,173.0,Resupply
主场景-综合动态战场,UAV-04,39,0.0,173.0,Search
主场景-综合动态战场,UAV-04,40,8.6921,168.9247,Search
主场景-综合动态战场,UAV-04,41,17.3842,164.8495,Search
主场景-综合动态战场,UAV-04,42,26.0762,160.7742,Search
主场景-综合动态战场,UAV-04,43,34.7683,156.699,Search
主场景-综合动态战场,UAV-04,44,43.4604,152.6237,Search
主场景-综合动态战场,UAV-04,45,52.1525,148.5485,Search
主场景-综合动态战场,UAV-04,46,60.8446,144.4732,Search
主场景-综合动态战场,UAV-04,47,69.5367,140.398,Search
主场景-综合动态战场,UAV-04,48,78.2287,136.3227,Search
主场景-综合动态战场,UAV-04,49,86.9208,132.2475,Search
主场景-综合动态战场,UAV-04,50,95.6129,128.1722,Search
主场景-综合动态战场,UAV-04,51,104.305,124.0969,Search
主场景-综合动态战场,UAV-04,52,112.9971,120.0217,Search
主场景-综合动态战场,UAV-04,53,121.6892,115.9464,Search
主场景-综合动态战场,UAV-04,54,130.3812,111.8712,Search
主场景-综合动态战场,UAV-04,55,139.0733,107.7959,Search
主场景-综合动态战场,UAV-04,56,147.7654,103.7207,Search
主场景-综合动态战场,UAV-04,57,156.4575,99.6454,Search
主场景-综合动态战场,UAV-04,58,162.5429,96.7923,Track
主场景-综合动态战场,UAV-04,59,162.5429,96.7923,Track
主场景-综合动态战场,UAV-04,60,167.5075,105.0089,Track
主场景-综合动态战场,UAV-04,61,172.4722,113.2255,Track
主场景-综合动态战场,UAV-05,0,0.0,173.0,Search
主场景-综合动态战场,UAV-05,1,0.0,173.0,Search
主场景-综合动态战场,UAV-05,2,3.9307,163.3714,Search
主场景-综合动态战场,UAV-05,3,5.44,159.6743,Track
主场景-综合动态战场,UAV-05,4,5.44,159.6743,Track
主场景-综合动态战场,UAV-05,5,12.6737,167.1465,Track
主场景-综合动态战场,UAV-05,6,13.4223,167.9198,Track
主场景-综合动态战场,UAV-05,7,13.4223,167.9198,Search
主场景-综合动态战场,UAV-05,8,23.4748,165.2538,Search
主场景-综合动态战场,UAV-05,9,33.5273,162.5879,Search
主场景-综合动态战场,UAV-05,10,43.5797,159.9219,Search
主场景-综合动态战场,UAV-05,11,47.5413,158.8713,Track
主场景-综合动态战场,UAV-05,12,47.5413,158.8713,Track
主场景-综合动态战场,UAV-05,13,55.4749,165.5957,Track
主场景-综合动态战场,UAV-05,14,63.4086,172.32,Track
主场景-综合动态战场,UAV-05,15,68.0121,176.2219,Track
主场景-综合动态战场,UAV-05,16,68.0121,176.2219,Track
主场景-综合动态战场,UAV-05,17,74.127,167.8095,Search
主场景-综合动态战场,UAV-05,18,80.2418,159.3971,Search
主场景-综合动态战场,UAV-05,19,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,20,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,21,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,22,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,23,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,24,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,25,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,26,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,27,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,28,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,29,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,30,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,31,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,32,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,33,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,34,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,35,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,36,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,37,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,38,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,39,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,40,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,41,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,42,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,43,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,44,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,45,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,46,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,47,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,48,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,49,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,50,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,51,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,52,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,53,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,54,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,55,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,56,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,57,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,58,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,59,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,60,81.9841,157.0002,Lost
主场景-综合动态战场,UAV-05,61,81.9841,157.0002,Lost
